group1,group2,Diff,Lower,Upper,q-value,p-value
"(9, 1)","(9, 0)",1.9699999999999998,-4.8992440362500655,8.839244036250065,1.7288395002725985,0.9
"(9, 1)","(1, 1)",1.0922945736434118,-3.858233088452905,6.042822235739728,1.330104247964116,0.9
"(9, 1)","(1, 0)",1.5348280254777071,-3.3992001889070407,6.468856239862455,1.875234083488151,0.9
"(9, 1)","(4, 1)",1.5789275362318849,-3.4512725696987463,6.609127642162516,1.8922317822151566,0.9
"(9, 1)","(4, 0)",2.433824561403509,-2.632025885056539,7.499675007863557,2.8962383575260935,0.9
"(9, 1)","(2, 1)",0.060545454545454014,-4.9519675357694695,5.0730584448603775,0.07281543171834744,0.9
"(9, 1)","(2, 0)",1.4255966386554633,-3.5326863430150928,6.383879620326019,1.733256147250004,0.9
"(9, 1)","(12, 1)",2.1639999999999997,-4.705244036250066,9.033244036250064,1.8990906997918289,0.9
"(9, 1)","(12, 0)",4.317333333333334,-3.6145864535830796,12.249253120249747,3.2812148110768766,0.9
"(9, 1)","(11, 1)",1.1673333333333336,-6.76458645358308,9.099253120249747,0.8871845482080931,0.9
"(9, 1)","(11, 0)",0.676857142857143,-5.682827056145896,7.036541341860182,0.6415918841965867,0.9
"(9, 1)","(3, 1)",0.7392000000000003,-4.27738654888266,5.755786548882661,0.8882823743830067,0.9
"(9, 1)","(3, 0)",2.0380963855421683,-2.9633571377637615,7.039549908848098,2.456551522562476,0.9
"(9, 1)","(5, 1)",1.101692307692308,-3.938954746368079,6.142339361752695,1.317563101156018,0.9
"(9, 1)","(5, 0)",1.9576538461538462,-3.1277998406684953,7.043107532976188,2.3206176674318346,0.9
"(9, 1)","(35, 1)",0.0,-inf,inf,0.0,0.9
"(9, 1)","(35, 0)",4.174,-7.723879680374618,16.071879680374618,2.1148534004686352,0.9
"(9, 1)","(13, 1)",3.6606666666666667,-4.271253120249747,11.592586453583081,2.7821418356428547,0.9
"(9, 1)","(13, 0)",3.5040000000000004,-3.365244036250065,10.373244036250066,3.0750525933782673,0.9
"(9, 1)","(6, 1)",1.616142857142858,-4.042427630437353,7.274713344723069,1.7217512732801332,0.9
"(9, 1)","(6, 0)",1.1117777777777782,-4.946326027199299,7.169881582754855,1.1063146778078705,0.9
"(9, 1)","(14, 1)",1.0173333333333332,-6.91458645358308,8.949253120249747,0.7731831071191032,0.9
"(9, 1)","(14, 0)",3.709,-5.378155707465616,12.796155707465616,2.4605163741691336,0.9
"(9, 1)","(15, 1)",3.1906666666666665,-4.7412531202497465,11.12258645358308,2.4249373202306868,0.9
"(9, 1)","(15, 0)",3.484,-8.413879680374619,15.381879680374619,1.7652489811290668,0.9
"(9, 1)","(7, 1)",0.07314285714285695,-6.286541341860182,6.432827056145896,0.06933200605923416,0.9
"(9, 1)","(7, 0)",0.08000000000000007,-5.528714269156351,5.6887142691563515,0.0859852715296676,0.9
"(9, 1)","(8, 1)",0.1128888888888886,-5.945214916088188,6.170992693865966,0.11233417076282162,0.9
"(9, 1)","(8, 0)",2.9451111111111112,-3.1129926938659658,9.003214916088188,2.930639301416691,0.9
"(9, 1)","(25, 1)",3.0740000000000003,-8.823879680374619,14.971879680374618,1.5575130218113524,0.9
"(9, 1)","(25, 0)",0.8340000000000005,-11.063879680374619,12.731879680374618,0.422565341636522,0.9
"(9, 1)","(20, 1)",2.684,-9.213879680374617,14.58187968037462,1.3599105239237703,0.9
"(9, 1)","(20, 0)",4.984,-6.9138796803746185,16.881879680374617,2.525258588388998,0.9
"(9, 1)","(24, 1)",2.1340000000000003,-9.763879680374618,14.031879680374619,1.081240334595129,0.9
"(9, 1)","(24, 0)",2.8840000000000003,-9.013879680374618,14.781879680374619,1.4612451382250946,0.9
"(9, 1)","(17, 1)",3.484,-8.413879680374619,15.381879680374619,1.7652489811290668,0.9
"(9, 1)","(17, 0)",2.3606666666666665,-5.571253120249747,10.29258645358308,1.794129346204944,0.9
"(9, 1)","(28, 1)",0.0,-inf,inf,0.0,0.9
"(9, 1)","(28, 0)",0.31599999999999984,-11.58187968037462,12.213879680374617,0.1601086905960921,0.9
"(9, 1)","(23, 1)",0.0,-inf,inf,0.0,0.9
"(9, 1)","(23, 0)",3.216,-5.871155707465616,12.303155707465617,2.1334647234639883,0.9
"(9, 1)","(33, 1)",5.716,-6.181879680374618,17.61387968037462,2.8961432767318445,0.9
"(9, 1)","(33, 0)",0.0,-inf,inf,0.0,0.9
"(9, 1)","(30, 1)",1.2839999999999998,-10.61387968037462,13.181879680374617,0.650568223814501,0.9
"(9, 1)","(30, 0)",0.0,-inf,inf,0.0,0.9
"(9, 1)","(37, 1)",0.0,-inf,inf,0.0,0.9
"(9, 1)","(37, 0)",2.834,-9.063879680374619,14.731879680374618,1.4359114846497634,0.9
"(9, 1)","(21, 1)",0.984,-10.913879680374619,12.881879680374619,0.49856630236251487,0.9
"(9, 1)","(21, 0)",0.5840000000000005,-8.503155707465616,9.671155707465616,0.3874202109772918,0.9
"(9, 1)","(16, 1)",4.484,-7.4138796803746185,16.381879680374617,2.271922052635688,0.9
"(9, 1)","(16, 0)",0.7573333333333334,-7.17458645358308,8.689253120249747,0.5755806092315212,0.9
"(9, 1)","(10, 1)",0.9040000000000008,-6.381933559486506,8.189933559486509,0.7479638696042165,0.9
"(9, 1)","(10, 0)",0.0006666666666674814,-7.931253120249746,7.932586453583081,0.0005066730715072399,0.9
"(9, 1)","(45, 1)",2.816,-9.08187968037462,14.713879680374617,1.426791369362644,0.9
"(9, 1)","(45, 0)",0.0,-inf,inf,0.0,0.9
