,group1,group2,Diff,Lower,Upper,q-value,p-value,df_num,dv_num,iv,ds_name,dv_name
22,27.0,45.0,2.0079999999999996,-1.093056966233041,5.10905696623304,3.7525062321025575,0.9,1,1,breed_n,df,wt_kg
23,27.0,49.0,0.5337910447761205,-1.5064023720382536,2.5739844615904945,1.5162380798801975,0.9,1,1,breed_n,df,wt_kg
24,27.0,59.0,0.9920000000000009,-2.1090569662330396,4.093056966233041,1.853827780002859,0.9,1,1,breed_n,df,wt_kg
25,27.0,31.0,0.7598571428571432,-2.0302736207023435,3.54998790641663,1.578246557452753,0.9,1,1,breed_n,df,wt_kg
26,27.0,52.0,0.42049999999999965,-3.96505681933833,4.8060568193383295,0.5556594644575056,0.9,1,1,breed_n,df,wt_kg
27,27.0,48.0,0.3829999999999991,-5.555072004336289,6.321072004336287,0.37378405611616033,0.9,1,1,breed_n,df,wt_kg
28,27.0,65.0,2.8420000000000005,-5.362625534097047,11.046625534097048,2.0073946728314427,0.9,1,1,breed_n,df,wt_kg
29,27.0,7.0,3.0579999999999994,-5.146625534097048,11.262625534097047,2.159962318620179,0.9,1,1,breed_n,df,wt_kg
30,27.0,43.0,0.1377142857142859,-2.652416477845201,2.9278450492737726,0.2860367891303733,0.9,1,1,breed_n,df,wt_kg
31,27.0,6.0,1.3573846153846159,-1.4951729062635133,4.209942137032745,2.757629839960452,0.9,1,1,breed_n,df,wt_kg
32,27.0,1.0,5.642000000000001,-0.29607200433628655,11.580072004336289,5.506239280959222,0.0999772590759781,1,1,breed_n,df,wt_kg
33,27.0,34.0,3.1295,-1.2560568193383297,7.51505681933833,4.1354014126510465,0.733635221367821,1,1,breed_n,df,wt_kg
34,27.0,18.0,3.608666666666668,-1.3487155847496384,8.566048918082974,4.218536571466044,0.6922109524951201,1,1,breed_n,df,wt_kg
35,27.0,17.0,3.8420000000000005,-4.362625534097047,12.046625534097048,2.713726366297819,0.9,1,1,breed_n,df,wt_kg
36,27.0,9.0,3.9753333333333334,-0.982048918082973,8.93271558474964,4.647170437031592,0.47807347146683565,1,1,breed_n,df,wt_kg
37,27.0,14.0,0.7420000000000009,-7.462625534097047,8.946625534097048,0.5240981165520521,0.9,1,1,breed_n,df,wt_kg
38,27.0,42.0,2.035692307692307,-0.8168652139558223,4.888249829340436,4.135663384603499,0.7335031111308633,1,1,breed_n,df,wt_kg
39,27.0,56.0,1.5679999999999996,-2.435447328620354,5.571447328620353,2.2697571730045087,0.9,1,1,breed_n,df,wt_kg
40,27.0,2.0,3.6420000000000012,-4.562625534097046,11.846625534097049,2.5724600276045444,0.9,1,1,breed_n,df,wt_kg
41,27.0,26.0,0.5420000000000007,-4.415382251416306,5.499382251416307,0.6335987867359868,0.9,1,1,breed_n,df,wt_kg
42,27.0,51.0,0.5419999999999998,-5.396072004336288,6.480072004336288,0.5289581159659512,0.9,1,1,breed_n,df,wt_kg
43,27.0,3.0,4.3420000000000005,-1.5960720043362873,10.280072004336288,4.237520552627603,0.6827537100622376,1,1,breed_n,df,wt_kg
44,27.0,54.0,0.5579999999999998,-7.646625534097048,8.762625534097047,0.394133084954238,0.9,1,1,breed_n,df,wt_kg
45,27.0,25.0,5.142000000000001,0.18461774858369484,10.099382251416309,6.011005463831072,0.028482250476275506,1,1,breed_n,df,wt_kg
